Brand,Model,Year,Power,Engine,Mileage,count
Ambassador,Classic,2003,35.5,1489.0,12.8,1
Audi,A3,2014,143.0,1968.0,20.38,2
Audi,A3,2015,143.0,1968.0,20.38,1
Audi,A3,2016,143.0,1968.0,20.38,2
Audi,A3,2017,143.0,1968.0,20.38,1
Audi,A4,2008,140.8,1968.0,15.2,1
Audi,A4,2009,147.51,1968.0,16.55,3
Audi,A4,2009,140.0,1968.0,16.55,1
Audi,A4,2010,241.4,2967.0,14.94,1
Audi,A4,2010,163.2,1781.0,12.3,1
Audi,A4,2010,140.0,1968.0,16.55,1
Audi,A4,2011,147.51,1968.0,16.55,5
Audi,A4,2011,140.0,1968.0,16.55,3
Audi,A4,2011,241.4,2967.0,14.94,1
Audi,A4,2011,163.2,1781.0,12.3,1
Audi,A4,2011,132.0,1984.0,10.8,1
Audi,A4,2012,140.8,1968.0,15.2,6
Audi,A4,2012,140.0,1968.0,16.55,3
Audi,A4,2012,147.51,1968.0,16.55,2
Audi,A4,2012,241.4,2967.0,14.94,1
Audi,A4,2012,167.62,1798.0,15.64,1
Audi,A4,2012,151.44923076923078,3197.0,10.5,1
Audi,A4,2013,147.51,1968.0,16.55,8
Audi,A4,2013,174.33,1968.0,17.11,5
Audi,A4,2013,187.74,1968.0,18.25,1
Audi,A4,2013,140.8,1968.0,15.2,1
Audi,A4,2013,140.0,1968.0,16.55,1
Audi,A4,2014,174.33,1968.0,17.11,11
Audi,A4,2014,147.51,1968.0,16.55,5
Audi,A4,2014,241.4,2967.0,14.94,1
Audi,A4,2014,187.74,1968.0,18.25,1
Audi,A4,2014,140.0,1968.0,16.55,1
Audi,A4,2015,174.33,1968.0,17.11,9
Audi,A4,2015,187.74,1968.0,18.25,3
Audi,A4,2015,241.4,2967.0,14.94,1
Audi,A4,2015,140.0,1968.0,16.55,1
Audi,A4,2016,174.33,1968.0,17.11,4
Audi,A4,2016,187.74,1968.0,18.25,1
Audi,A4,2017,187.74,1968.0,18.25,1
Audi,A4,2017,147.51,1395.0,17.84,1
Audi,A4,2019,174.33,1968.0,17.11,1
Audi,A6,2008,241.38,2967.0,16.77,2
Audi,A6,2008,201.0,2773.0,10.4,1
Audi,A6,2009,179.5,2698.0,12.4,2
Audi,A6,2009,241.38,2967.0,16.77,2
Audi,A6,2010,179.5,2698.0,12.4,2
Audi,A6,2011,241.38,2967.0,16.77,1
Audi,A6,2011,179.5,2698.0,12.4,1
Audi,A6,2011,187.74,1968.0,18.53,1
Audi,A6,2012,174.33,1968.0,17.68,3
Audi,A6,2012,187.74,1968.0,18.53,2
Audi,A6,2012,241.38,2967.0,14.57,1
Audi,A6,2013,174.33,1968.0,17.68,10
Audi,A6,2013,179.5,2698.0,12.4,1
Audi,A6,2014,174.33,1968.0,17.68,13
Audi,A6,2014,187.74,1968.0,18.53,4
Audi,A6,2015,174.33,1968.0,17.68,9
Audi,A6,2015,187.74,1968.0,18.53,1
Audi,A6,2015,177.01,1984.0,13.53,1
Audi,A6,2016,174.33,1968.0,17.68,2
Audi,A6,2016,187.74,1798.0,15.26,1
Audi,A6,2016,177.01,1984.0,13.53,1
Audi,A6,2017,174.33,1968.0,17.68,2
Audi,A6,2017,187.74,1968.0,18.53,1
Audi,A6,2018,187.74,1798.0,15.26,1
Audi,A6,2018,174.33,1968.0,17.68,1
Audi,A7,2011,241.4,2967.0,14.4,1
Audi,A7,2012,241.4,2967.0,14.4,1
Audi,A7,2014,241.4,2967.0,14.4,1
Audi,A8,2009,246.7,2967.0,11.8,1
Audi,A8,2012,246.7,2967.0,11.8,1
Audi,A8,2013,246.7,2967.0,11.8,1
Audi,Q3,2013,174.33,1968.0,15.73,5
Audi,Q3,2013,184.0,1968.0,17.32,2
Audi,Q3,2013,150.0,1968.0,17.32,1
Audi,Q3,2014,174.33,1968.0,15.73,5
Audi,Q3,2015,174.33,1968.0,15.73,9
Audi,Q3,2015,138.13,1968.0,17.32,2
Audi,Q3,2015,181.0,1968.0,15.17,2
Audi,Q3,2016,181.0,1968.0,15.17,2
Audi,Q3,2016,184.0,1968.0,17.32,1
Audi,Q3,2016,174.33,1968.0,15.73,1
Audi,Q3,2017,174.33,1968.0,15.73,2
Audi,Q3,2017,147.51,1968.0,18.51,1
Audi,Q3,2018,147.51,1968.0,18.51,2
Audi,Q5,2009,208.0,1984.0,9.74,3
Audi,Q5,2010,236.0,2967.0,12.19,1
Audi,Q5,2011,208.0,1984.0,9.74,1
Audi,Q5,2011,167.6,1968.0,12.8,1
Audi,Q5,2012,167.6,1968.0,12.8,2
Audi,Q5,2012,174.3,1968.0,14.16,1
Audi,Q5,2013,174.3,1968.0,14.16,4
Audi,Q5,2013,167.6,1968.0,12.8,3
